sid,tid,fid,ss,et,label,score
0,12,0,2,289,1,0.8820881247520447
0,13,0,3,308,1,0.8909076452255249
0,67,5,2,116,0,0.5501498579978943
0,81,20,2,183,1,0.9962652325630188
0,21,0,2,211,1,0.9968768358230591
0,39,15,3,308,1,0.8785044550895691
0,33,0,2,120,1,0.9991275668144226
0,62,15,2,342,1,0.3144124746322632
0,18,20,2,435,1,0.12601470947265625
0,20,0,3,193,0,0.7312482595443726
0,47,15,2,177,1,0.9923558235168457
0,7,10,2,193,1,0.9468114376068115
0,34,15,2,157,1,0.1134209856390953
0,0,25,3,28,1,0.5735512375831604
0,40,15,2,327,0,0.4193454682826996
0,73,0,2,295,0,0.9977828860282898
0,20,20,3,193,0,0.554558277130127
0,1,25,3,65,0,0.9807568192481995
0,68,5,2,148,0,0.7057276368141174
0,14,0,2,337,0,0.9972270131111145
0,44,5,2,429,0,0.994155764579773
0,14,20,2,337,0,0.991355836391449
0,83,0,2,241,1,0.5735895037651062
0,51,15,2,355,1,0.8610405325889587
0,79,5,3,303,1,0.7511254549026489
0,90,5,3,27,0,0.9147820472717285
0,44,20,2,429,0,0.915250837802887
0,35,25,2,17,1,0.9983785152435303
0,4,15,2,38,1,0.9949321150779724
0,8,25,2,208,1,0.981919527053833
0,73,5,2,295,0,0.997016429901123
0,21,25,2,211,1,0.5999400615692139
0,74,0,3,312,1,0.8001402616500854
0,10,25,2,251,1,0.9921785593032837
0,52,25,2,374,1,0.9984773993492126
0,30,10,2,46,1,0.8790276050567627
0,6,20,2,170,1,0.998387336730957
0,17,15,2,416,1,0.9898352026939392
0,77,10,3,89,1,0.5757730007171631
0,74,20,3,312,1,0.6149245500564575
0,57,0,3,155,1,0.9700948596000671
0,23,0,3,286,1,0.9442193508148193
0,19,15,3,176,1,0.5998291969299316
0,47,5,2,177,1,0.9040333032608032
0,43,5,3,413,1,0.7615727186203003
0,37,20,2,266,1,0.9722489714622498
0,30,5,2,46,1,0.9859499335289001
0,89,0,3,285,1,0.006452557630836964
0,26,15,2,30,1,0.9860792756080627
0,36,15,3,217,0,0.8927341103553772
0,71,5,3,200,0,0.4000723361968994
0,57,20,3,155,1,0.9284946322441101
0,8,10,2,208,1,0.9963108897209167
0,82,10,3,206,1,0.10091768205165863
0,12,20,2,289,1,0.9787589311599731
0,64,15,2,374,1,0.6998615860939026
0,44,0,2,429,0,0.9844191670417786
0,20,15,3,193,0,0.8829948902130127
0,37,10,2,266,1,0.869445264339447
0,32,25,3,104,1,0.3720797598361969
0,31,5,2,88,1,0.9988049268722534
0,53,25,2,393,1,0.9974632263183594
0,73,15,2,295,0,0.9924846291542053
0,16,10,2,385,1,0.9946948885917664
0,81,25,2,183,1,0.9986560344696045
0,42,0,2,385,1,0.9384117126464844
0,19,0,3,176,1,0.49832677841186523
0,39,25,3,308,1,0.9648638963699341
0,31,20,2,88,1,0.9685901999473572
0,18,5,2,435,1,0.8910624384880066
0,43,0,3,413,1,0.9473711848258972
0,76,25,2,51,1,0.9973902106285095
0,45,25,2,119,1,0.9477612972259521
0,31,25,2,88,1,0.6817254424095154
0,81,5,2,183,1,0.981447696685791
0,2,20,3,156,0,0.8702283501625061
0,72,0,2,280,1,0.9985542893409729
0,37,0,2,266,1,0.8240805268287659
0,33,25,2,120,1,0.959337592124939
0,90,20,3,27,0,0.8400992751121521
0,31,0,2,88,1,0.9988677501678467
0,39,20,3,308,1,0.9062612652778625
0,92,5,3,82,0,0.8971378803253174
0,69,15,2,14,1,0.9450550079345703
0,2,5,3,156,0,0.7229132056236267
0,80,15,2,119,1,0.9586960673332214
0,67,0,2,116,0,0.8243384957313538
0,42,25,2,385,1,0.8927996754646301
0,54,5,2,99,1,0.869892954826355
0,75,20,2,348,0,0.9974352717399597
0,77,0,3,89,1,0.580423891544342
0,25,0,2,346,1,0.9984025359153748
0,68,25,2,148,0,0.033185187727212906
0,17,5,2,416,1,0.8374132513999939
0,34,0,2,157,1,0.8988190293312073
0,15,0,2,371,1,0.9964717626571655
0,71,10,3,200,0,0.26983320713043213
0,61,10,2,269,1,0.052907802164554596
0,91,25,3,62,0,0.8796548843383789
0,74,5,3,312,1,0.9011146426200867
0,89,15,3,285,1,0.013631396926939487
0,78,0,3,142,1,0.7788671851158142
0,76,0,2,51,1,0.9945017099380493
0,62,20,2,342,1,0.5318935513496399
0,80,20,2,119,1,0.9788839817047119
0,62,5,2,342,1,0.8132404685020447
0,63,20,2,38,1,0.9267143607139587
0,77,15,3,89,1,0.7736058235168457
0,60,15,2,251,1,0.1877085417509079
0,23,20,3,286,1,0.7912394404411316
0,58,5,2,179,0,0.03827357292175293
0,12,10,2,289,1,0.9660079479217529
0,22,10,2,250,1,0.3245181441307068
0,35,10,2,17,1,0.9992087483406067
0,92,20,3,82,0,0.8374853134155273
0,92,15,3,82,0,0.7656281590461731
0,72,15,2,280,1,0.9880601763725281
0,9,20,2,230,1,0.99112468957901
0,88,0,3,229,1,0.00015857270045671612
0,7,25,2,193,1,0.996536374092102
0,33,10,2,120,1,0.9819220304489136
0,57,5,3,155,1,0.8729245662689209
0,14,10,2,337,0,0.8444508910179138
0,6,5,2,170,1,0.9969360828399658
0,34,25,2,157,1,0.7549007534980774
0,59,5,2,235,1,0.06045465171337128
0,43,25,3,413,1,0.9686810970306396
0,48,10,3,29,1,0.9989506006240845
0,83,25,2,241,1,0.46952182054519653
0,34,10,2,157,1,0.2487543225288391
0,65,25,2,59,1,0.9746572375297546
0,21,15,2,211,1,0.8812793493270874
0,61,20,2,269,1,0.3519541621208191
0,14,5,2,337,0,0.9959004521369934
0,38,10,3,278,1,0.9472513794898987
0,2,15,3,156,0,0.9096047878265381
0,41,20,2,344,0,0.9992628693580627
0,55,5,2,119,1,0.9622705578804016
0,19,10,3,176,1,0.8138408660888672
0,13,10,3,308,1,0.7280449271202087
0,93,25,3,310,1,0.9427887201309204
0,86,15,3,174,0,0.15596932172775269
0,87,5,3,195,0,0.004802966956049204
0,58,25,2,179,0,0.6678397059440613
0,28,0,2,404,1,0.9829977750778198
0,49,25,3,251,0,0.3895311653614044
0,26,10,2,30,1,0.9955154061317444
0,51,25,2,355,1,0.9986342787742615
0,54,25,2,99,1,0.8463093638420105
0,53,15,2,393,1,0.9971318244934082
0,9,10,2,230,1,0.9963576197624207
0,86,0,3,174,0,7.840394391678274e-05
0,27,5,3,366,1,0.9885808825492859
0,47,25,2,177,1,0.9669612050056458
0,70,25,2,181,0,0.9969483017921448
0,93,0,3,310,1,0.6456750631332397
0,85,10,2,107,1,0.0043941158801317215
0,23,10,3,286,1,0.5722390413284302
0,15,5,2,371,1,0.9934200644493103
0,5,5,2,86,1,0.9979374408721924
0,78,25,3,142,1,0.7612755298614502
0,92,0,3,82,0,0.8405855894088745
0,89,25,3,285,1,0.0004292722442187369
